code,description_en,description_no
03211100,Wheat,Hvete
03211110,"Durum wheat",Durumhvete
03211120,"Soft wheat","Vanlig hvete"
03211200,Maize,Mais
03211300,Rice,Ris
03211400,Barley,"Bygg (korn)"
03211500,Rye,Rug
03211600,Oats,Havre
03211700,Malt,Malt
03211900,"Grain products",Kornprodukter
03212000,"Potatoes and dried vegetables","Poteter og tørkede grønnsaker"
03212100,Potatoes,Poteter
03212200,"Dried leguminous vegetables and pulses","Tørkede belgfrukter og -planter"
03212210,"Dried leguminous vegetables","Tørkede belgfrukter"
03212211,Lentils,Linser
03212212,"Chick peas","Kik ert"
03212213,"Dried peas","Tørkede erter"
03212220,Pulses,Belgfrukter
03220000,"Vegetables, fruits and nuts","Grønnsaker, frukt og nøtter"
03221000,Vegetables,Grønnsaker
03221100,"Root and tuber vegetables","Rot og knollvekster"
03221110,"Root vegetables",Rotvekster
03221111,Beetroot,Rødbeter
03221112,Carrots,Gulrøtter
03221113,Onions,Løk
03221114,Turnips,Turnips
03221120,"Tuber vegetables",Knollvekster
03221200,"Fruit vegetables","Frukt grønnsaker"
03221210,Beans,Bønner
03221211,"Broad beans",Bønnevikker
03221212,"Green beans","Grønne bønner"
03221213,"Runner beans",Strenglebønner
03221220,Peas,Erter
03221221,"Garden peas",Hageerter
03221222,Mange-tout,Sukkererter
03221230,Peppers,Pepperfrukter
03221240,Tomatoes,Tomater
03221250,Courgettes,Squash
03221260,Mushrooms,Sopp
03221270,Cucumbers,Agurker
03221300,"Leaf vegetables",Bladgrønnsaker
03221310,Lettuce,Hodesalat
03221320,"Salad leaves",Bladsalater
03221330,Artichokes,Artisjokker
03221340,Spinach,Spinat
03221400,"Cabbage vegetables","Kål grønnsaker"
03221410,Cabbage,Kål
03221420,Cauliflower,Blomkål
03221430,Broccoli,Broccoli
03221440,"Brussels sprouts",Rosenkål
03222000,"Fruit and nuts","Frukter og nøtter"
03222100,"Tropical fruit and nuts","Tropiske frukter og nøtter"
03222110,"Tropical fruit","Tropiske frukter"
03222111,Bananas,Bananer
03222112,Pineapples,Ananas
03222113,Mangoes,Mangofrukter
03222114,Dates,Dadler
03222115,Raisins,Rosiner
03222116,Figs,Fikner
03222117,Avocados,Avokadoer
03222118,"Kiwi fruit",Kiwifrukter
03222120,Coconuts,Kokosnøtter
03222200,"Citrus fruit",Sitrusfrukter
03222210,Lemons,Sitroner
03222220,Oranges,Appelsiner
03222230,Grapefruit,Grapefrukter
03222240,Tangerines,Tangeriner
03222250,Limes,Limefrukter
03222300,"Non-tropical fruit","Ikke-tropisk frukt"
03222310,"Berry fruit",Bærfrukt
03222311,Currants,Rips
03222312,Gooseberries,Stikkelsbær
03222313,Strawberries,Jordbær
03222314,Raspberries,Bringebær
03222315,Cranberries,Tranebær
03222320,"Apples, pears and quinces","Epler, pærer og syrlig frukter"
03222321,Apples,Epler
03222322,Pears,Pærer
03222323,Quinces,"Syrlige frukter"
03222330,"Stone fruit",Steinfrukter
03222331,Apricots,Aprikoser
03222332,Peaches,Ferskener
03222333,Cherries,Kirsebær
03222334,Plums,Plommer
03222340,Grapes,Druer
03222341,"Table grapes",Bordsdruer
03222342,"Wine grapes",Vindruer
03222400,Olives,Oliven
03300000,"Farming, hunting and fishing products","Gårdsbruk, jakt- og fiskeprodukter"
03310000,"Fish, crustaceans and aquatic products","Fisk, skalldyr og sjøprodukter"
03311000,Fish,Fisk
03311100,"Flat fish",Flatfisk
03311110,Sole,Tunge
03311120,Plaice,Rødspette
03311200,"Fish of the cod family",Torskefisk
03311210,Cod,Torsk
03311220,Pollock,Sei
03311230,Hake,Lysing
03311240,Haddock,Kolje
03311300,Herring,Sild
03311400,Tuna,Tunfisk
03311500,Whiting,Hviting
03311600,Whitebait,Småsild
03311700,Salmon,Laks
03312000,Crustaceans,Krepsdyr
03312100,Oysters,Østers
03312200,Shellfish,Skalldyr
03312300,"Aquatic invertebrates","Virvelløse havdyr"
03313000,"Aquatic products",Sjøprodukter
03313100,"Corals or similar products","Koraller eller tilsvarende produkter"
03313200,"Natural sponges",Natursvamp
03313300,Seaweeds,Tang
03313310,Algae,Alger
03320000,"Cattle, livestock and small animals","Kveg, levende dyr og smådyr"
03321000,Cattle,Kveg
03321100,"Bovine cattle",Storfe
03321200,Calves,Kalver
03322000,Livestock,Husdyrbestand
03322100,Sheep,Sau
03322200,Goats,Geiter
03322300,Horses,Hester
03323000,Pigs,Svin
03324000,"Live poultry","Levende fjærkre"
03325000,"Small animals",Smådyr
03325100,Rabbits,Kaniner
03325200,Hares,Harer
03330000,"Farm animal products","Husdyr og produkter herav"
03331000,"Fresh milk from sheep and goats","Fersk melk fra sau og geiter"
03331100,"Sheep's milk","Melk fra sau"
03331200,"Goats' milk","Melk fra geiter"
03332000,"Wool and animal hair","Ull og dyrehår"
03332100,"Shorn wool","Klippet ull"
03332200,"Animal hair",Dyrehår
03333000,"Fresh cows' milk","Fersk kumelk"
03340000,"Animal ear tags","Øremerker til dyr"
03341000,"Bovine ear tags","Øremerker til kveg"
03400000,"Forestry and logging products","Skog og tømmerprodukter"
03410000,Wood,Trevirke
03411000,"Coniferous wood",Bartrær
03412000,"Tropical wood","Tropiske tresorter"
03413000,"Fuel wood","Ved til brensel"
03414000,"Rough wood","Ubehandlet tre"
03415000,Softwood,"Bløtt tre"
03416000,"Wood waste",Spilltre
03417000,"Scrap wood",Treavfall
03417100,Sawdust,Sagspon
03418000,Logs,Tømmerstokker
03418100,Hardwood,"Hardt tre"
03419000,Timber,Tømmer
03419100,"Timber products","Tømmer produkter"
03419200,"Mining timber",Gruvetømmer
03420000,Gums,Gummier
03421000,Balsams,Balsatre
03422000,Lac,Skjellakk
03430000,Cork,Kork
03431000,"Natural cork",Naturkork
03432000,Basketware,Kurvprodukter
03432100,Wickerwork,Flettverker
03440000,"Forestry products",Skogbruksprodukter
03441000,"Ornamental plants, grasses, mosses or lichens","Prydplanter, gress, mose og lav"
03450000,"Tree-nursery products",Planteskoleprodukter
03451000,Plants,Planter
03451100,"Bedding plants","Vekster til utplanting"
03451200,"Flower bulbs",Blomsterløk
03451300,Shrubs,Busker
03452000,Trees,Trær
03460000,Pulp,"Bløt masse"
03461000,"Wood pulp",Tremasse
03461100,"Chemical wood pulp","Kjemisk tremasse"
09000000,"Petroleum products, fuel, electricity and other sources of energy","Oljeprodukter, brensel, elektrisitet og andre energikilder"
09100000,Fuels,Brensel
09110000,"Solid fuels","Fast brensel"
09111000,"Coal and coal-based fuels","Kull og kullbasert brensel"
09111100,Coal,Kull
09111200,"Coal-based fuels","Kullbasert brensel"
09111210,"Hard coal",Steinkull
09111220,Briquettes,Briketter
09111300,"Fossil fuels","Fossilt brensel"
09111400,"Wood fuels",Trebrensel
09112000,"Lignite and peat","Brunkull og torv"
09112100,Lignite,Brunkull
09112200,Peat,Torv
09113000,Coke,Koks
09120000,"Gaseous fuels","Gassholdig brennstoff"
09121000,"Coal gas, mains gas or similar gases","Kullgass, gassforsyning eller andre gasser"
09121100,"Coal gas or similar gases","Kullgass eller tilsvarende gasser"
09121200,"Mains gas",Ledningsgass
09122000,"Propane and butane","Propan og butan"
09122100,"Propane gas",Propangass
09122110,"Liquefied propane gas","Flytende propangass"
09122200,"Butane gas",Butangass
09122210,"Liquefied butane gas","Flytende butangass"
09123000,"Natural gas",Naturgass
09130000,"Petroleum and distillates","Petroleum og destillater"
09131000,"Aviation kerosene",Flyparafin
09131100,"Kerosene jet type fuels","Flybrennstoff av petroleumstypen"
09132000,Petrol,Bensin
09132100,"Unleaded petrol","Blyfri bensin"
09132200,"Leaded petrol","Blyholdig bensin"
09132300,"Petrol with ethanol","Etanolholdig bensin"
09133000,"Liquefied Petroleum Gas (LPG)","Flytende petroleumsgass (LPG)"
09134000,"Gas oils",Gassoljer
09134100,"Diesel oil",Dieselolje
09134200,"Diesel fuel",Dieseldrivstoff
09134210,"Diesel fuel (0,2)","Diesel brennstoff (0.2)."
09134220,"Diesel fuel (EN 590)","Diesel brennstoff (EN 590)."
09134230,Biodiesel,Biodiesel
09134231,"Biodiesel (B20)","Biodiesel (B20)"
09134232,"Biodiesel (B100)","Biodiesel (B100)."
09135000,"Fuel oils",Brenselsoljer
09135100,"Heating oil",Fyringsolje
09135110,"Low-sulphur combustible oils","Lavsulfat lettantennelig oljer"
09200000,"Petroleum, coal and oil products","Petroleum-, kull- og oljeprodukter"
09210000,"Lubricating preparations",Smørepreparater
09211000,"Lubricating oils and lubricating agents","Smøreoljer og smøremidler"
09211100,"Motor oils",Motoroljer
09211200,"Compressor lube oils",Kompressoroljer
09211300,"Turbine lube oils",Turbinoljer
09211400,"Gear oils",Gearoljer
09211500,"Reductor oils","Gearoljer (Reductor oils)"
09211600,"Oils for use in hydraulic systems and other purposes","Oljer til anvendelse i hydrauliske systemer og til andre formål"
09211610,"Liquids for hydraulic purposes","Vesker til hydrauliske formål"
09211620,"Mould release oils",Formoljer
09211630,"Anti-corrosion oils","Korrosionsbeskyttende oljer"
09211640,"Electrical insulating oils","Elektroisolerende oljer"
09211650,"Brake fluids",Bremsevæsker
09211700,"White oils and liquid paraffin","Hvite oljer og flytende parafin"
09211710,"White oils","Hvite oljer"
09211720,"Liquid paraffin","Flytende parafin"
09211800,"Petroleum oils and preparations","Oljer og produkter av petroleum"
09211810,"Light oils",Lettolje
09211820,"Petroleum oils","Olje av petroleum"
09211900,"Lubricating traction oils","Smøringsolje til traksjon"
09220000,"Petroleum jelly, waxes and special spirits","Vaseline, voks og spesialsprit"
09221000,"Petroleum jelly and waxes","Vaselin og vokser"
09221100,"Petroleum jelly",Vaselin
09221200,"Paraffin wax",Parafinvoks
09221300,"Petroleum wax",Petroleumsvoks
09221400,"Petroleum residues","Restprodukter av petroleum"
09222000,"Special spirits",Spesialsprit
09222100,"White spirit","White spirit"
09230000,"Petroleum (crude)",Råolje
09240000,"Oil and coal-related products","Olje- og kullrelaterte produkter"
09241000,"Bituminous or oil shale","Bituminøs skifer eller oljeskifer"
09242000,"Coal-related products","Kullrelaterte produkter"
09242100,"Coal oil","Kull olje"
09300000,"Electricity, heating, solar and nuclear energy","Elektrisitet, oppvarming, solenergi og kjernefysisk energi"
09310000,Electricity,Elektrisitet
09320000,"Steam, hot water and associated products","Damp, varmt vann og tilhørende produkter"
09321000,"Hot water","Varmt vann"
09322000,Steam,Damp
09323000,"District heating",Fjernvarme
09324000,"Long-distance heating",Fjernvarme
09330000,"Solar energy",Solenergi
09331000,"Solar panels",Solcellepanel
09331100,"Solar collectors for heat production","Solfangere til varmeproduksjon"
09331200,"Solar photovoltaic modules",Solcellsmoduler
09332000,"Solar installation",Solenergianlegg
09340000,"Nuclear fuels",Atombrennstoff
09341000,Uranium,Uran
09342000,Plutonium,Plutonium
09343000,"Radioactive materials","Radioaktive materialer"
09344000,Radio-isotopes,Radioisotoper
14000000,"Mining, basic metals and related products","Gruvedrift, grunnmetaller og relaterte produkter"
14200000,"Sand and clay","Sand og leire"
14210000,"Gravel, sand, crushed stone and aggregates","Grus, sand, knuste stein og tilslagsmaterialer"
14211000,Sand,Sand
14211100,"Natural sand",Natursand
14212000,"Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates","Korn, steinflis, pulver av stein, småstein, grus, knust stein, steinblandinger, sand- og grusblandinger og andre tilslagsmaterialer"
14212100,"Pebbles and gravel","Småstein og grus"
14212110,Pebbles,Småstein
14212120,Gravel,Grus
14212200,Aggregates,Tilslagsmaterialer
14212210,"Sand-gravel mix","Blandinger av sand og grus"
14212300,"Broken and crushed stone","Knust stein"
14212310,Ballast,Pukk
14212320,"Crushed granite","Knust granitt"
14212330,"Crushed basalt","Knust basalt"
14212400,Soil,Jord
14212410,Topsoil,Matjord
14212420,Subsoil,Underjord
14212430,"Stone chippings",Steinflis
14213000,"Macadam, tarmac and tar sands","Makadam, asfalt og asfaltsand"
14213100,Macadam,Makadam
14213200,Tarmac,Asfalt
14213300,"Tar sands",Asfaltsand
14220000,"Clay and kaolin","Leire og kaolin"
14221000,Clay,Leire
14222000,Kaolin,Kaolin
14300000,"Chemical and fertiliser minerals","Kjemiske mineraler og gjødningsmineraler"
14310000,"Fertiliser minerals",Gjødningsmineraler
14311000,"Natural calcium, aluminium calcium phosphate and crude natural potassium salts","Naturlig kalsium, aluminiumkalsiumfosfat og rå, naturlige kaliumsalter"
14311100,"Natural calcium","Naturlig kalsium"
14311200,"Aluminium calcium phosphates",Aluminiumkalsiumfosfater
14311300,"Crude natural potassium salts","Rå naturlige kaliumsalter"
14312000,"Iron pyrites",Svovelkis
14312100,"Unroasted iron pyrites","Ikke brent svovelkis"
14320000,"Chemical minerals","Kjemiske mineraler"
14400000,"Salt and pure sodium chloride","Salt og ren natriumklorid"
14410000,"Rock salt",Steinsalt
14420000,"Sea salt",Havsalt
14430000,"Evaporated salt and pure sodium chloride","Inndamped salt og ren natriumklorid"
14450000,"Salt in brine",Saltlake
14500000,"Related mining and quarrying products","Produkter relatert til gruve- og bergverksdrift og steinbrudd"
14520000,"Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals","Edelstein og halvedelstein; pimpstein; smergel; naturlige slipemidler, andre mineraler og edle metaller"
14521000,"Precious and semi-precious stones","Edelstein og halvedelstein"
14521100,"Precious stones",Edelstein
14521140,"Dust or powder of precious stones","Støv eller pulver av edelstein"
14521200,"Semi-precious stones",Halvedelstein
14521210,"Dust or powder of semi-precious stones","Støv eller pulver av halvedelstein"
14522000,"Industrial diamonds, pumice stone, emery and other natural abrasives","Industridiamanter; pimpstein; smergel og andre naturlige slipemidler"
14522100,"Pumice stone",Pimpstein
14522200,"Industrial diamonds",Industridiamanter
14522300,Emery,Smergel
14522400,"Natural abrasives","Naturlige slipemidler"
14523000,"Related minerals, precious metals and associated products","Beslektede mineraler, edle metaller og produkter herav"
14523100,Minerals,Mineraler
14523200,Gold,Gull
14523300,Silver,Sølv
14523400,Platinum,Platina
14600000,"Metal ores and alloys","Metallmalmer og legeringer"
14610000,"Metal ores","Metalliske malmer"
14611000,"Iron ores",Jernmalmer
14612000,"Non-ferrous metal ores","Ikke-jernholdige metallmalmer"
14612100,"Copper ores",Kobbermalm
14612200,"Nickel ores",Nikkelmalm
14612300,"Aluminium ores",Aluminiummalm
14612400,"Precious-metal ores",Edelmetallmalm
14612500,"Lead ores",Blymalm
14612600,"Zinc ores",Zinkmalm
14612700,"Tin ores",Tinnmalm
14613000,"Uranium and thorium ores","Uran- og thoriummalm"
14613100,"Uranium ores",Uranmalmer
14613200,"Thorium ores",Thoriummalmer
14614000,"Miscellaneous ores","Diverse malmer"
14620000,Alloys,Legeringer
14621000,Ferro-alloys,Jernlegeringer
14621100,"Non-ECSC ferro-alloys","Jernlegeringer, ikke omfattet av EKSF"
14621110,Ferro-manganese,Ferro-mangan
14621120,Ferro-chromium,Jernkrom
14621130,Ferro-nickel,Jernnikkel
14622000,Steel,Stål
14630000,"Slag, dross, ferrous waste and scrap","Slagg, avfall, skrap og skrot av jern"
14700000,"Basic metals",Grunnmetaller
14710000,"Iron, lead, zinc, tin and copper","Jern, bly, sink, tinn og kopper"
14711000,Iron,Jern
14711100,"Pig iron",Råjern
14712000,Lead,Bly
14713000,Zinc,Sink
14714000,Tin,Tinn
14715000,Copper,Kopper
14720000,"Aluminium, nickel, scandium, titanium and vanadium","Aluminium, nikkel, scandium, titanium og vanadium"
14721000,Aluminium,Aluminium
14721100,"Aluminium oxide",Aluminiumoksid
14722000,Nickel,Nikkel
14723000,Scandium,Scandium
14724000,Titanium,Titanium
14725000,Vanadium,Vanadium
14730000,"Chromium, manganese, cobalt, yttrium and zirconium","Krom, mangan, kobolt, yttrium og zirkonium."
14731000,Chromium,"Krom,"
14732000,Manganese,Mangan
14733000,Cobalt,Kobolt
14734000,Yttrium,Yttrium
14735000,Zirconium,Zirkonium
14740000,"Molybdenum, technetium, ruthenium and rhodium","Molybden, technetium, ruthenium og rhodium."
14741000,Molybdenum,Molybden
14742000,Technetium,Technetium.
14743000,Ruthenium,Ruthenium.
14744000,Rhodium,Rhodium.
14750000,"Cadmium, lutetium, hafnium, tantalum and tungsten","Kadmium, lutetium, hafnium, tantal og wolfram"
14751000,Cadmium,Kadmium
14752000,Lutetium,"Lutetium,"
14753000,Hafnium,Hafnium
14754000,Tantalum,Tantal
14755000,Tungsten,Wolfram
14760000,"Iridium, gallium, indium, thallium and barium","Iridium, gallium, indium, thalliums og barium."
14761000,Iridium,Iridium
14762000,Gallium,Gallium
14763000,Indium,Indium
14764000,Thallium,Thalliums
14765000,Barium,Barium
14770000,"Caesium, strontium, rubidium and calcium","Cesium, strontium, rubidium og kalsium"
14771000,Caesium,Cesium
14772000,Strontium,Strontium
14773000,Rubidium,Rubidium
14774000,Calcium,Kalsium
14780000,"Potassium, magnesium, sodium and lithium","Kalium, magnesium, natrium and litium."
14781000,Potassium,"Kalium,"
14782000,Magnesium,"Magnesium,"
14783000,Sodium,Natrium
14784000,Lithium,Litium.
14790000,"Niobium, osmium, rhenium and palladium","Niob, osmium, rhenium og palladium"
14791000,Niobium,Niob
14792000,Osmium,Osmium
14793000,Rhenium,Rhenium
14794000,Palladium,Palladium
14800000,"Miscellaneous non-metallic mineral products","Diverse ikke-metalliske mineralprodukter"
14810000,"Abrasive products",Slipeprodukter
14811000,"Millstones, grindstones and grinding wheels","Møllestein, slipestein og slipeskiver"
14811100,Millstones,Møllestein
14811200,Grindstones,Slipestein
14811300,"Grinding wheels",Slipeskiver
14812000,"Abrasive powder or grain","Slipemidler som pulver eller korn"
14813000,"Artificial corundum","Kunstig korund (aluminiumoksid)"
14814000,"Artificial graphite","Kunstig grafitt"
14820000,Glass,Glass
14830000,Fibreglass,Glassfiber
14900000,"Recovered secondary raw materials","Gjenvunnet sekundære råmaterialer"
14910000,"Recovered secondary metal raw materials","Gjenvunnet sekundære råmaterialer av metall"
14920000,"Recovered secondary non-metal raw materials","Gjenvunnet sekundære råmaterialer av ikke-metall"
14930000,"Ash and residues containing metals","Aske og rester som inneholder metaller"
15000000,"Food, beverages, tobacco and related products","Næringsmidler, drikkevarer, tobakk og relaterte produkter"
15100000,"Animal products, meat and meat products","Dyreprodukter, kjøtt og kjøttprodukter"
15110000,Meat,Kjøtt
15111000,"Bovine meat",Oksekjøtt
15111100,Beef,Oksekjøtt
15111200,Veal,Kalvekjøtt
15112000,Poultry,Fjærkre
15112100,"Fresh poultry","Ferskt fjærkre"
15112110,Geese,Gjess
15112120,Turkeys,Kalkuner
15112130,Chickens,Kyllinger
15112140,Ducks,Ender
15112300,"Poultry livers","Fjærkre lever"
15112310,"Foie gras","Gåse- og andelever"
15113000,Pork,Svinekjøtt
15114000,Offal,Innmat
15115000,"Lamb and mutton","Lamme- og fårekjøtt"
15115100,Lamb,Lammekjøtt
15115200,Mutton,Fårekjøtt
15117000,"Goat meat",Geitekjøtt
15118000,"Horse, ass, mule or hinny meat","Hester, esel, muldyr eller mulesel kjøtt"
15118100,Horsemeat,Hestekjøtt
15118900,"Ass, mule or hinny meat","Esel, muldyr eller mulesel kjøtt"
15119000,"Various meats","Diverse kjøtt"
15119100,"Rabbit meat",Kanin
15119200,"Hare meat",Harekjøtt
15119300,Game,Vilt
15119400,"Frogs' legs",Froskelår
15119500,Pigeons,Duer
15119600,"Fish meat",Fiskekjøtt
15130000,"Meat products",Kjøttprodukter
15131000,"Meat preserves and preparations","Kjøttkonserver og kjøttvarer"
15131100,"Sausage-meat products",Pølsekjøttprodukter
15131110,"Sausage meat",Pølsekjøtt
15131120,"Sausage products",Pølseprodukter
15131130,Sausages,Pølser
15131134,"Black pudding and other blood sausages","Blodpudding og andre blodpølser"
15131135,"Poultry sausages","Pølser av fjærkre"
15131200,"Dried, salted, smoked or seasoned meat","Tørket, saltet, røkt eller krydret kjøtt"
15131210,Gammon,"Saltet skinke"
15131220,Bacon,Bacon
15131230,Salami,Salami
15131300,"Liver preparations",Leverprodukter
15131310,Pâté,Postei
15131320,"Preparations of goose or duck liver","Produkter av gåse- eller andelever"
15131400,"Pork products","Produkter av svinekjøtt"
15131410,Ham,Skinke
15131420,Meatballs,Kjøttboller
15131490,"Prepared pork dishes","Ferdigretter tilberedt av svinekjøtt"
15131500,"Poultry products","Produkter av fjærkre"
15131600,"Beef and veal products","Okse- og kalvekjøttprodukter"
15131610,"Beef meatballs","Kjøttboller av oksekjøtt"
15131620,"Minced beef",Hakkebiff
15131640,Beefburgers,"Burger av oksekjøtt"
15131700,"Meat preparations",Kjøttprodukter
15200000,"Prepared and preserved fish","Tilberedt og konservert fisk"
15210000,"Fish fillets, fish livers and roe","Fiskefileter, fiskelever og rogn"
15211000,"Fish fillets",Fiskefileter
15211100,"Fresh fish fillets","Ferske fiskefileter"
15212000,"Fish roe",Fiskerogn
15213000,"Fish livers",Fiskelever
15220000,"Frozen fish, fish fillets and other fish meat","Frossen fisk, fiskefileter og øvrig fiskekjøtt"
15221000,"Frozen fish","Frossen fisk"
15229000,"Frozen fish products","Frosne fiskeprodukter"
15230000,"Dried or salted fish; fish in brine; smoked fish","Tørket eller saltet fisk; fisk i saltlake; røkt fisk"
15231000,"Dried fish","Tørket fisk"
15232000,"Salted fish","Saltet fisk"
15233000,"Fish in brine","Fisk i saltlake"
15234000,"Smoked fish","Røkt fisk"
15235000,"Preserved fish","Konservert fisk"
15240000,"Canned or tinned fish and other prepared or preserved fish","Hermetisert fisk og på annen vis tilberedt eller konservert fisk"
15241000,"Coated, canned or tinned fish","Panert fisk eller hermetisert"
15241100,"Canned salmon","Hermetisert laks"
15241200,"Prepared or preserved herring","Tilberedt eller konservert sild"
15241300,Sardines,Sardiner
15241400,"Canned tuna","Hermetisert tunfisk"
15241500,Mackerel,Makrell
15241600,Anchovies,Ansjoser
15241700,"Fish fingers",Fiskepinner
15241800,"Coated fish preparations","Panerte fiskeprodukter"
15242000,"Prepared fish dishes","Tilberedte fiskeretter"
15243000,"Preparations of fish",Fiskeprodukter
15244000,"Caviar and fish eggs","Kaviar og fiskeegg"
15244100,Caviar,Kaviar
15244200,"Fish eggs",Fiskeegg
15250000,Seafood,"Fisk og skalldyr"
15251000,"Frozen crustaceans","Frosne krepsdyr"
15252000,"Prepared or preserved crustaceans","Tilberedte eller konserverte krepsdyr"
15253000,"Shellfish products",Skalldyrprodukter
15300000,"Fruit, vegetables and related products","Frukt, grønnsaker og lignende produkter"
15310000,"Potatoes and potato products","Poteter og potetprodukter"
15311000,"Frozen potatoes","Frosne poteter"
15311100,"Chips or french fries","Pommes frites"
15311200,"Diced, sliced and other frozen potatoes","Frosne poteter i terninger, skiver og annet"
15312000,"Potato products",Potetprodukter
15312100,"Instant mashed potatoes",Potetmospulver
15312200,"Part-fried potato chips","Pommes frites delvis fritert"
15312300,"Potato crisps",Potetgull
15312310,"Flavoured potato crisps","Potetgull, smakstilsatt"
15312400,"Potato snacks",Potetsnacks
15312500,"Potato croquettes",Potetkroketter
15313000,"Processed potatoes","Bearbeidede poteter"
15320000,"Fruit and vegetable juices","Frukt- og grønnsakkraft"
15321000,"Fruit juices",Fruktsaft
15321100,"Orange juice",Appelsinjuice
15321200,"Grapefruit juice",Grapefruktjuice
15321300,"Lemon juice",Sitronjuice
15321400,"Pineapple juice",Ananasjuice
15321500,"Grape juice",Druejuice
15321600,"Apple juice",Eplejuice
15321700,"Mixtures of unconcentrated juices","Juiceblandinger, ikke konsentrert"
15321800,"Concentrated juices",Juicekonsentrater
15322000,"Vegetable juices",Grønnsaksjuicer
15322100,"Tomato juice",Tomatjuice
15330000,"Processed fruit and vegetables","Bearbeidede frukt og grønnsaker"
15331000,"Processed vegetables","Bearbeidede grønnsaker"
15331100,"Fresh or frozen vegetables","Ferske eller frosne grønnsaker"
15331110,"Processed root vegetables","Bearbeidede rotgrønnsaker"
15331120,"Processed tuber vegetables","Bearbeidede knoll grønnsaker"
15331130,"Beans, peas, peppers, tomatoes and other vegetables","Bønner, erter, paprika, tomater og andre grønnsaker"
15331131,"Processed beans","Bearbeidede bønner"
15331132,"Processed peas","Bearbeidede erter"
15331133,"Split peas","Gule erter"
15331134,"Processed tomatoes","Bearbeidede tomater"
15331135,"Processed mushrooms","Bearbeidede sopper"
15331136,"Processed peppers","Bearbeidede paprika"
15331137,"Soybean sprouts",Bønnespirer
15331138,Truffles,Trøfler
15331140,"Leaf and cabbage vegetables","Blad og kålgrønnsaker"
